"ASIGNATURA","#ESTUDIANTE","#MUJERES","#HOMBRE","SEMESTRE","MODALIDAD","TIPOESTRATEGIA","ESTRATEGIA","COMPETENCIA_EVALUAR","TIPOHERRAMIENTA","HERRAMIENTA","TIPOLICENCIA","FUNCIONES","INTERACCION","DISENO","USABILIDAD","DOCUMENTACION","ACTUALIZACIONES","%APROVECHAMIENTO","%APROBACION","VALORACION"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Aprendizaje Gestion de aprendizaje","TalentLMS","Propietaria","Multimedia","5","3","3","1","1","2.25","1.25","4.5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Busquedad de informacion","Talkwalker Alerts","Libre","Multimedia","5","5","5","2","4","1.5","4","3"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Presentaciones y multimedia","TeacherTube","Hibrida","Multimedia","4","1","4","5","1","1.6","1.55","3.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Role Playing ","Procedimental","Comunicacion en linea y webconference","TeamViewer","Propietaria","Multimedia","4","4","2","1","2","1.1","4.25","3.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Busquedad de informacion","Technorati ","Libre","Multimedia","2","4","1","1","1","2.6","0.7","2"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Panel","Procedimental","Creacion de actividades educativas-interactivas","TED TALKS","Hibrida","Tablero","1","3","4","5","2","3.2","4.85","1.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Evaluacion","Testmoz","Propietaria","Tablero","1","2","1","5","1","1.95","1","5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Debate","Procedimental","Creacion de video","THINGLINK","Libre","Tablero","2","1","5","3","3","4","3.85","1"
"Creatividad","85","34","51","IV","Presencial","Didactica","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Busquedad de informacion","Think with Google","Hibrida","Tablero","4","2","5","5","1","0.55","0.65","0.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Portafolio","Cognitivo","Aprendizaje Gestion de aprendizaje","Thinkific","Propietaria","Tablero","5","1","1","4","2","1.15","4.45","2.5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Poster","Cognitivo","Comunicacion en linea y webconference","Threema","Libre","Tablero","5","2","3","1","5","2.4","0.7","3.5"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Proyectos","Cognitivo","Presentaciones y multimedia","TiddlyWiki","Hibrida","Tablero","2","5","5","2","4","2.4","1.75","1"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Aprendizaje Gestion de aprendizaje","TodaysMeet ","Propietaria","Tablero","2","1","2","3","3","4.5","2.75","1.5"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Organización de contenidos","Todoist","Libre","Tablero","1","3","4","1","1","2.2","2.15","2"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Creacion de actividades educativas-interactivas","Toondoo","Hibrida","Tablero","5","2","4","1","5","3.6","2.35","4"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Creacion de actividades educativas-interactivas","Totara","Propietaria","Encuestas","3","2","3","1","2","1.5","0.65","2.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Rœbrica","Cognitivo","Organización de contenidos","TRELLO","Libre","Encuestas","4","4","5","3","3","0.3","4.1","2.5"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Clase magistral","Actitudinal","Evaluacion","Turnitin","Hibrida","Encuestas","4","5","2","5","3","2.8","4.8","0.5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Creacion de actividades educativas-interactivas","Twine","Propietaria","Encuestas","5","5","3","3","2","3.35","2.1","2"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Creacion de actividades educativas-interactivas","Typeform","Libre","Encuestas","3","2","5","3","4","1.7","0.9","0.5"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Creacion de BLOG","TypePad","Hibrida","Encuestas","4","2","1","3","2","1.4","2.35","2.5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Organización de contenidos","Typorama","Propietaria","Encuestas","2","1","4","4","2","4.4","4","1"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en problemas","Actitudinal","Aprendizaje Gestion de aprendizaje","Udacity","Libre","Encuestas","3","5","2","5","5","2.45","3.55","4"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Aprendizaje Gestion de aprendizaje","UDEMY","Hibrida","Encuestas","4","2","3","4","4","1.75","4.9","0.5"
"Calculo diferencial","52","38","14","II","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Aprendizaje Gestion de aprendizaje","Udutu","Propietaria","Video","1","4","3","1","5","0.5","2.9","1.5"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Dialogo problematizador y reflexivo ","Actitudinal","Mapas mentales","Ultra Hal Assistant ","Libre","Video","2","4","5","5","4","1.9","2.55","0.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Repositorio de imagenes","Unsplash","Hibrida","Video","3","4","3","1","3","4.1","1.3","1"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Comunicacion en linea y webconference","Ustream  ","Propietaria","Video","4","2","1","1","2","4.95","4.9","1"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Lectura independiente","Actitudinal","Comunicacion en linea y webconference","Viber","Libre","Video","4","3","4","3","5","4.9","1.85","1.5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Creacion de video","Viddyoze","Hibrida","Video llamada","5","5","3","1","1","3.75","0.7","2"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Creacion de video","Videoscribe","Propietaria","Video llamada","3","4","2","2","1","2.6","4","0.5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Comunicacion en linea y webconference","VIMEO","Libre","Video llamada","1","4","1","4","3","4.1","3.1","3.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Busquedad de informacion","Vivaldi","Hibrida","Video llamada","2","3","5","3","5","4.4","3.45","3"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Presentaciones y multimedia","Voicethread","Propietaria","Video llamada","2","5","1","4","5","1.9","4.4","4"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Estudio de caso","Procedimental","Creacion de actividades educativas-interactivas","Voki","Libre","Video llamada","2","2","1","1","5","4.75","3.45","4.5"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Comunicacion en linea y webconference","VooV Meeting","Hibrida","Multimedia","4","1","2","5","3","0.9","1.5","5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Presentaciones y multimedia","Voxopop ","Propietaria","Multimedia","2","1","3","3","4","4.45","2.75","3.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Creacion de video","VYOND","Libre","Multimedia","3","5","3","2","2","0.35","0.2","0.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Organización de contenidos","Wakelet","Hibrida","Multimedia","2","4","4","4","3","0.15","0.3","1.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Role Playing ","Procedimental","Aprendizaje Gestion de aprendizaje","WebinarGeek","Propietaria","Multimedia","2","1","2","4","3","4.55","4.45","2"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Comunicacion en linea y webconference","WeChat","Libre","Multimedia","4","1","3","4","5","4.15","0.8","1.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Panel","Procedimental","Creacion de BLOG","Weebly","Hibrida","Tablero","3","2","3","5","5","2.9","1.5","2.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Comunicacion en linea y webconference","WeTransfer","Propietaria","Tablero","5","1","4","3","3","4.05","0.1","2"
"Creatividad","85","34","51","IV","Presencial","Didactica","Debate","Procedimental","Creacion de video","WeVideo","Libre","Tablero","5","5","2","5","4","1","3.4","1.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Comunicacion en linea y webconference","WHATSAPP","Hibrida","Tablero","1","3","1","3","2","0.95","3.85","4.5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Portafolio","Cognitivo","Comunicacion en linea y webconference","Whiteboardchat","Propietaria","Tablero","3","5","3","5","4","3.75","2.95","4"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Poster","Cognitivo","Comunicacion en linea y webconference","WHEREBY","Libre","Tablero","5","5","1","4","4","0.3","4.75","1.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Proyectos","Cognitivo","Busquedad de informacion","WIKIPEDIA","Hibrida","Tablero","4","3","3","2","5","1.6","3.35","0.5"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Comunicacion en linea y webconference","Windows Live Messenger (moved to Skype)","Propietaria","Tablero","4","3","2","1","2","0.6","2.15","4"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Creacion de BLOG","Windows Live Writer (part of MS Windows)","Libre","Tablero","5","5","4","3","2","3.8","1.8","0.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Presentaciones y multimedia","Wink","Hibrida","Tablero","4","5","3","1","1","0.4","2.55","2.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Creacion de video","Wipster","Propietaria","Encuestas","2","5","4","4","5","4.85","2","5"
"Metodos numericos","16","4","12","VI","Presencial","Evaluacion","Rœbrica","Cognitivo","Mapas mentales","Wisemapping","Libre","Encuestas","3","5","4","5","2","1.6","1.05","1"
"Metodos numericos","29","14","15","VI","Dual","Evaluacion","Clase magistral","Actitudinal","Busquedad de informacion","Wolfram|Alpha","Hibrida","Encuestas","5","3","3","1","2","4.8","1.8","1"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Presentaciones y multimedia","Wooclap","Propietaria","Encuestas","5","5","3","1","4","1.75","3","5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Ofimaticas","WORD","Libre","Encuestas","5","1","3","2","2","2.6","3.2","3.5"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Presentaciones y multimedia","Wordle ","Hibrida","Encuestas","5","3","3","5","4","3.15","0.6","2"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Busquedad de informacion","Wordreference","Propietaria","Encuestas","1","1","4","2","2","4.35","1.9","4"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Aprendizaje basado en problemas","Actitudinal","Creacion de actividades educativas-interactivas","WORDWALL","Libre","Encuestas","4","4","2","3","4","2","2.6","4.5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Organización de contenidos","Wunderlist ","Hibrida","Encuestas","4","1","3","4","1","3.25","4.75","2.5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Mapas mentales","XMind","Propietaria","Video","1","3","5","4","5","0.9","5","1"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Creacion de video","xtranormal ","Libre","Video","2","5","1","2","4","4","3.6","1.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Comunicacion en linea y webconference","Yahoo Groups ","Hibrida","Video","1","4","3","4","1","0.1","0.25","1"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Lectura independiente","Actitudinal","Mapas mentales","yEd","Propietaria","Video","5","5","5","5","3","2","2.25","4"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Busquedad de informacion","YOUTUBE","Libre","Video","4","2","3","3","4","2.2","0.15","5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Creacion de actividades educativas-interactivas","YouVisit ","Hibrida","Video llamada","1","5","2","2","5","4","3.65","3"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Comunicacion en linea y webconference","Yugma ","Propietaria","Video llamada","5","1","1","3","2","3.05","4.7","3.5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Creacion de video","Zamzar","Libre","Video llamada","3","2","2","5","5","0.6","2.65","1"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Busquedad de informacion","Zeef","Hibrida","Video llamada","3","3","3","5","5","4.9","3.4","2"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Estudio de caso","Procedimental","Presentaciones y multimedia","Zeetings","Propietaria","Video llamada","1","1","4","5","4","2.3","4.7","1.5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Comunicacion en linea y webconference","ZOOM","Libre","Video llamada","2","4","5","3","4","4.95","2.7","1"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Gestor bibliograficos","Zotero","Hibrida","Multimedia","4","2","4","3","2","1","2.9","2.5"
